Academic Research Units,Amount
Center for Middle Eastern Studies," $ 123,354 "
Federal," $ 123,354 "
CLAS Center for Latin American Studies," $ 45,000 "
Not for Profit," $ 45,000 "
CSAS Center for South Asian Studies," $ 53,500 "
Federal, $ 0    
Non Federal Governmental, $ 0   
Not for Profit," $ 53,500 "
CSEAS Center for Southeast Asian Studies, $ 0   
Federal, $ 0   
Data Science Institute," $ 600,000"
Industry," $ 600,000"
Helen Wills Neuroscience Institute," $ 8,313,410 "
Federal," $ 7,358,797 "
Non Federal Governmental, $ 0   
Not for Profit," $ 954,613 "
University of California, $ 0   
IEAS Institute of East Asian Studies," $ 450,938 "
Federal," $ 263,449 "
Non Federal Governmental," $ 70,794 "
Not for Profit," $ 116,695 "
IIS Institute of International Studies," $ 486,311 "
Federal," $ 334,897 "
Industry," $ 150,000 "
Not for Profit, $ 0   
University of California," $ 1,414 "
Institute for the Study of Societal Issues," $ 108,504 "
Not for Profit," $ 91,040 "
State of California," $ 17,464 "
Institute of European Studies," $ 266,455 "
Federal, $ 0   
Non Federal Governmental," $ 260,955 "
Not for Profit," $ 5,500 "
"Institute of Slavic, East European, and Eurasian Studies", $ 0   
Federal, $ 0   
AVC Student Affairs & Dean of Students," $ 15,000 "
blank," $ 15,000 "
Not for Profit," $ 15,000 "
BAM/PFA," $ 40,000 "
Art Mus & Pacific Film Archive," $ 40,000 "
Federal," $ 40,000 "
Cal Performances/SMA," $ 135,000 "
CAL Cal Performances," $ 135,000 "
Federal," $ 35,000 "
Not for Profit," $ 100,000 "
CNR College of Natural Resources," $ 46,404,809 "
ARE Agricultural & Resource Economics," $ 2,207,640 "
Federal," $ 424,644 "
Not for Profit," $ 189,748 "
State of California," $ 1,593,248 "
CNR Office of the Dean," $ 958,070 "
Federal," $ 413,837 "
Non Federal Governmental," $ 60,000 "
Not for Profit," $ 215,767"
State of California," $ 700,000 "
Energy & Resources Group," $ 2,006,378 "
Federal," $ 1,301,419 "
Not for Profit," $ 73,000 "
State of California," $ 631,959 "
"Environmental Science, Policy & Management"," $ 21,822,273 "
Federal," $ 17,189,777 "
Non Federal Governmental," $ 565,131 "
Not for Profit," $ 973,753 "
State of California," $ 2,878,520 "
University of California," $ 215,092 "
Nutritional Science & Toxicology," $ 4,003,625 "
Federal," $ 3,573,256 "
Industry," $ 99,000 "
Not for Profit," $ 331,369 "
Plant & Microbial Biology Department," $ 15,457,278 "
Federal," $ 15,175,228 "
Non Federal Governmental," $ 95,638"
Not for Profit," $ 377,688 "
State of California, $ 0   
University of California, $ 0   
blank," $ 50,455"
Federal, $ 0   
Not for Profit," $ 81,879"
State of California, $ 0   
University of California," $ 31,424 "
College of Chemistry," $ 31,361,396 "
Chemical and Biomolecular Engineering," $ 8,780,856 "
Federal," $ 4,015,210 "
Industry," $ 4,619,963 "
Non Federal Governmental," $ 26,027 "
Not for Profit," $ 67,500 "
University of California," $ 52,156 "
Chemistry Department," $ 22,580,540 "
Federal," $ 15,312,812 "
Industry," $ 5,209,713 "
Non Federal Governmental," $ 202,720 "
Not for Profit," $ 1,488,163 "
State of California," $ 269,976 "
University of California," $ 97,156 "
College of Engineering," $ 124,717,318 "
Bioengineering," $ 3,139,067 "
Federal," $ 2,575,743 "
Industry," $ 15,650 "
Non Federal Governmental," $ 240,174 "
Not for Profit," $ 307,500 "
Civil & Environmental Engineering," $ 29,758,737 "
Federal," $ 18,102,968 "
Industry," $ 563,584 "
Non Federal Governmental," $ 560,703 "
Not for Profit," $ 561,143 "
State of California," $ 9,915,863 "
University of California," $ 54,476 "
EECS Electrical Engineering & Computer Sciences," $ 40,519,179 "
Federal," $ 30,468,754 "
Industry," $ 8,089,109 "
Non Federal Governmental," $ 1,542,100 "
