Sponsor,Control Unit,Division,Department,Sponsor Class,2014,2015,2016
California Wellness Foundation,Schools,School of Journalism,Journalism Department,Not for Profit,nan,"$35,000 ",$0 
California Wellness Foundation,Schools,School of Law,Boalt Law School,Not for Profit,nan,"$65,000 ",nan
California Wellness Foundation,Schools,School of Public Health,Null,Not for Profit,"$235,000 ",$0 ,$0 
California Wellness Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,nan,nan,"$200,000 "
California Wheat Commission,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$5,000 ","($2,138)",nan
California Wildlife Conservation Board,Vice Chancellor - Research,VC Research Museums & Field Stations ,Blue Oak Ranch Reserve,Non Federal Governmental,"$3,179,000 ","$635,000 ",nan
California Wildlife Conservation Board,Vice Chancellor - Research,VC Research Museums & Field Stations ,Research Field Stations and Nature Reserves,Non Federal Governmental,nan,"$682,000 ",nan
Cambridge Display Technology Limted,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,"$190,000 ",nan
"Cambridge Systematics, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Industry,nan,nan,"$150,058 "
Cameco Resources,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Industry,nan,nan,"$44,690 "
Camille & Henry Dreyfus Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,$0 ,$0 
Camille & Henry Dreyfus Foundation,Colleges,College of Chemistry,Null,Not for Profit,nan,"($75,000)",nan
Camille & Henry Dreyfus Foundation,Colleges,Chemistry Department,Chemistry Department,Not for Profit,"$75,000 ","$140,000 ",nan
Canadian Institute for Advanced Research,Colleges,Chemistry Department,Chemistry Department,Not for Profit,nan,nan,"$112,500 "
Canadian Institute for Advanced Research,L&S College of Letters & Sciences,Division of Social Sciences,Economics,Not for Profit,"$48,000 ","$48,000 ",nan
Canadian Institute for Advanced Research,L&S College of Letters & Sciences,Division of Social Sciences,Political Science,Not for Profit,"$61,250 ",nan,"$35,000 "
Canadian Institute for Advanced Research,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,nan,"$125,000 ",$0 
Canadian Institute for Advanced Research,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,"$24,000 ","$24,000 ","$24,000 "
"Cancer Research Institute, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,"$224,500 ",nan,"$164,500 "
Capital One Foundation,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,"$350,000 ","$350,000 ","$175,000 "
"Car2go N.A., LLC",Colleges,College of Engineering,Civil & Environmental Engineering,Industry,nan,"$102,000 ",nan
"Carl Zeiss Meditec, Inc.",Schools,School of Optometry,Null,Industry,nan,nan,"$109,000 "
Carnegie Corporation,Schools,School of Journalism,Journalism Department,Not for Profit,nan,$0 ,nan
Carnegie Corporation,Schools,School of Law,Null,Not for Profit,nan,"$250,000 ",nan
Carnegie Corporation,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Not for Profit,nan,$0 ,nan
Carnegie Institution,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,$0 ,nan,nan
Carnegie Institution,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Not for Profit,nan,nan,"$6,000 "
Carnegie Institution,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,"$268,582 ","$72,735 ","$180,129 "
Carnegie Mellon University,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,"$202,993 ",$0 ,$0 
Carnegie Mellon University,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Not for Profit,$0 ,($1),nan
Carnegie Mellon University,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,nan,nan,"$127,867 "
Cary Institute of Ecosystem Studies,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,nan,"$13,346 "
Casey Family Programs,Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,"$200,000 ","$100,050 ","$100,000 "
Catholic University of America,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,nan,"$336,369 ",$0 
"CeSHHAR Zimbabwe (Centre for Sexual Health, HIV & AIDS Research)",Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,$0 ,nan,nan
"Celsense, Inc.",Colleges,College of Engineering,Bioengineering,Industry,nan,$0 ,nan
Center for American Progress,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Not for Profit,nan,"$60,000 ","$28,000 "
Center for American Progress,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,nan,nan,"$103,000 "
Center for California Water Resources Policy and Management,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,"$40,000 ",$0 ,nan
Center for Environmental Health,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,nan,"$25,272 "
Center for Genomic Regulation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,"$35,407 ",nan,nan
Center for Integration of Medicine and Innovative Technology,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,"$100,000 ",nan,nan
Center for Open Science,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Not for Profit,nan,$0 ,$0 
Center for Research in Environmental Epidemiology,Schools,School of Public Health,Null,Not for Profit,$0 ,nan,nan
Centre National de la Recherche Scientifique,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Non Federal Governmental,nan,nan,$0 
Centre National de la Recherche Scientifique,Schools,School of Optometry,Null,Non Federal Governmental,"$13,059 ","$9,650 ",nan
Centre for International Mobility,L&S College of Letters & Sciences,Division of Arts & Humanities,Scandinavian Languages,Non Federal Governmental,nan,"$27,478 ",nan
"Ceramatec, Inc.",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,nan,$0 ,nan
Change Happens Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,nan,"$5,000 "
Charles Pankow Foundation,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,nan,"$418,869 ",nan
Charles Pankow Foundation,College of Engineering,College of Engineering,EERC Earthquake Engineering Research Center,Not for Profit,nan,nan,"$165,050 "
Charles River Analytics,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,"$1,369,735 ",$0 ,$0 
Charles River Analytics,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,nan,($2),nan
"Charles Salter Associates, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,nan,nan,"$10,000 "
"Charles Stark Draper Laboratory, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,"$220,000 ",nan,nan
Chen Ryan Associates,Schools,School of Public Health,"Dean's Office, Public Health",Industry,"$12,520 ",nan,nan
Chevron Corporation,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,"$425,291 ",nan,"$2,400,000 "
Chevron Corporation,Colleges,Chemistry Department,Chemistry Department,Industry,"$250,000 ","$250,000 ","$125,000 "
Chevron Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,"$600,000 ",$0 
Chevron Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,nan,"$250,000 ",nan
Chevron Corporation,Colleges,College of Engineering,MSE Materials Science & Engineering,Industry,"$186,000 ",$0 ,nan
Chiang Ching-Kuo Fdn for Int Scholar Exch,L&S College of Letters & Sciences,Division of Arts & Humanities,East Asian Languages,Not for Profit,nan,nan,"$25,000 "
Chiang Ching-Kuo Fdn for Int Scholar Exch,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Not for Profit,"$10,000 ","$25,000 ",nan
Chicago Community Trust (Searle Scholars Prog),L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,"$135,707 ","$300,000 "
Chicago Community Trust (Searle Scholars Prog),Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,"$300,000 ",nan
Child and Family Policy Institute of California,Schools,School of Social Welfare,Null,Non Federal Governmental,"$126,423 ","($105,423)",nan
Childbirth Connection,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$34,099 ",nan,nan
Children With Cancer UK,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,$0 ,nan,nan
Children's Hospital Medical Center of Cincinnati,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,$0 
Children's Hospital and Research Center at Oakland,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,nan,"$25,000 ","$109,900 "
Children's Hospital and Research Center at Oakland,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,$0 ,$0 
Children's Hospital and Research Center at Oakland,Schools,School of Optometry,Null,Not for Profit,nan,$0 ,nan
Children's Hospital and Research Center at Oakland,Vice Chancellor - Research,VC Res Other Research Units,CITRIS Ctr for Info Tech Research in the Interest of Society,Not for Profit,nan,nan,$0 
Children's Hospital of Philadelphia,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,nan
Childrens Investment Fund Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,"$493,242 ","$188,433 ",nan
Chilisin Electronics Corp.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,"$675,000 ",nan
"China Automotive Battery Research Institute Co., LTD.",Colleges,College of Engineering,MSE Materials Science & Engineering,Industry,nan,nan,$0 
"Chirp Microsystems, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,nan,"$250,000 "
Citizens United for Research in Epilepsy,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,nan,"$250,000 ",nan
City University of New York,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$15,400 ",nan,nan
City and County of San Francisco,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,$0 ,nan,nan
City and County of San Francisco,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Non Federal Governmental,nan,nan,$0 
City of Berkeley,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Non Federal Governmental,nan,nan,"$15,000 "
City of East Palo Alto,Schools,School of Law,Boalt Law School,Non Federal Governmental,nan,"$48,000 ",nan
City of Seattle,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Non Federal Governmental,"$40,203 ",$0 ,nan
City of Seattle,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Non Federal Governmental,nan,"$15,000 ",nan
Clarence E. Heller Charitable Foundation,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,nan,"$280,000 ",$0 
Cleave Biosciences,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,nan,$0 ,nan
Clemson University (incl Clemson Univ Genomics Institute),Colleges,Chemistry Department,Chemistry Department,Not for Profit,nan,$0 ,nan
College Advising Corps,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Not for Profit,nan,"$119,340 ","($119,340)"
Colorado Department of Public Health & Environment,Colleges,Chemistry Department,Chemistry Department,Non Federal Governmental,"$46,033 ",nan,nan
Colorado School of Mines,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,nan,nan,"$681,414 "
Colorado State University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$203,975 ",nan,$0 
Colorado State University,Colleges,Chemistry Department,Chemistry Department,Not for Profit,$0 ,nan,nan
Colorado State University,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,nan,nan,"$400,000 "
Colorado State University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,nan,$0 ,nan
Colorado State University,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,$56 ,$0 ,$0 
Colorado State University,Schools,Graduate School of Education,School of Education,Not for Profit,nan,nan,"$79,278 "
Colorado State University,Schools,School of Public Health,Null,Not for Profit,$0 ,nan,nan
Colorado State University,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,nan,nan,"$13,116 "
Colorado State University,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,"$242,695 ",$0 
"Colorado, State of",L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Non Federal Governmental,$0 ,nan,nan
Columbia University,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,"$76,883 ","$67,470 ","$33,735 "
Columbia University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$178,990 ","$100,852 ","$112,581 "
Columbia University,Schools,Graduate School of Education,Null,Not for Profit,nan,"$216,422 ",$0 
Columbia University,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,nan,"$335,585 "
Commonwealth Fund,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,"$17,500 ",nan,"$659,688 "
Community Foundation Serving Riverside and San Bernardino,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Not for Profit,"$3,840 ",$0 ,nan
Computing Research Association,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,nan,"$300,000 "
Computing Research Association,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,$0 ,nan,nan
Computing Research Association,Schools,School of Optometry,nan,Not for Profit,$0 ,nan,nan
"Conagen, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,"$8,000 ",nan,nan
Concord Consortium,Schools,Graduate School of Education,School of Education,Not for Profit,nan,nan,"$227,436 "
ConnectEd,Schools,Graduate School of Education,Null,Not for Profit,"$250,000 ",nan,nan
ConocoPhillips Company (Merger of Conoco & Phillips Petroleum),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,"$160,000 ",nan,nan
Conrad N. Hilton Foundation,Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,nan,nan,"$630,000 "
Consortium for Ocean Leadership,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,$0 ,nan,nan
Consortium of Univs for Research in Earthquake Eng (CUREE),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$9,978 ",nan,nan
Consultative Group on International Agricultural Research,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Not for Profit,nan,"$235,176 ",nan
Continental Automotive Systems,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,nan,nan,"$164,000 "
Continental Automotive Systems,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,nan,"$250,000 "
Contra Costa County,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,nan,"$8,500 ",$0 
Contra Costa County,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Non Federal Governmental,$0 ,nan,"$125,000 "
Contra Costa Regional Health Foundation,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,"$45,331 ",nan,nan
"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,"$38,000 ",nan,nan
"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Schools,School of Optometry,Null,Industry,nan,"$166,150 ",$806 
"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Schools,School of Optometry,nan,Industry,$0 ,nan,nan
Cooperative Ecosystem Studies Units,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Non Federal Governmental,nan,"$195,000 ",$0 
Cooperative Ecosystem Studies Units,Vice Chancellor - Research,VC Research Museums & Field Stations ,University/Jepson Herbaria,Non Federal Governmental,nan,nan,"$19,545 "
Coriell Institute for Medical Research,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,nan,$0 ,nan
Coriell Institute for Medical Research,Colleges,College of Engineering,Bioengineering,Not for Profit,nan,nan,$0 
Coriell Institute for Medical Research,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,nan
Coriell Institute for Medical Research,Schools,School of Public Health,Null,Not for Profit,$0 ,nan,nan
Coriell Institute for Medical Research,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,nan,$0 
Cork Institute of Technology,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,nan,"$13,607 ",nan
Cornell University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,$0 ,"($146,250)",nan
Cornell University,Colleges,Chemistry Department,Chemistry Department,Not for Profit,nan,nan,$0 
Cornell University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,nan,"$535,864 ",nan
Cornell University,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,nan,nan,"$492,375 "
Cornell University,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,nan,nan,"$116,069 "
Cornell University,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,"$44,487 ",$0 ,"($15,032)"
Cornell University,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,nan,nan,"$2,999,255 "
Cornell University,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,$0 ,"($15,812)",nan
Cornell University,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,nan,"$40,000 "
Cornell University,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,$0 ,nan,nan
Cotton Inc.,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Not for Profit,"$30,000 ","$30,000 ",nan
Council on Library and Information Resources,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Not for Profit,$0 ,$0 ,nan
County of Los Angeles Office of the County Counsel,Schools,School of Law,Boalt Law School,Non Federal Governmental,nan,"$201,264 ",$0 
County of Marin,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Non Federal Governmental,nan,nan,"$10,000 "
"Cray Research, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Industry,nan,nan,"$999,000 "
Creative Work Fund,Vice Chancellor - Research,VC Research Museums & Field Stations ,Botanical Garden,Not for Profit,nan,"$40,000 ",nan
Creekside Center for Earth Observation,Vice Chancellor - Research,VC Research Museums & Field Stations ,Botanical Garden,Industry,"$11,200 ",nan,nan
Croucher Foundation,Colleges,Chemistry Department,Chemistry Department,Not for Profit,nan,nan,"$30,000 "
Croucher Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,nan,nan,"$15,000 "
"CymaBay Therapeutics, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,$0 ,nan,nan
DA ARO Army Research Office,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,"$162,110 ","$149,394 ",$0 
DA ARO Army Research Office,Colleges,Chemistry Department,Chemistry Department,Federal,"$240,587 ","$4,396,836 ","$648,725 "
DA ARO Army Research Office,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,nan,nan,"$77,650 "
DA ARO Army Research Office,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,"$20,000 ",nan,"$50,000 "
DA ARO Army Research Office,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,"$577,500 ","$237,500 ",$0 
DA ARO Army Research Office,Colleges,College of Engineering,Mechanical Engineering,Federal,nan,nan,"$90,000 "
DA ARO Army Research Office,Colleges,College of Engineering,MSE Materials Science & Engineering,Federal,nan,"$400,000 ","$200,000 "
DA ARO Army Research Office,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,$0 ,nan,nan
DA ARO Army Research Office,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,"$2,485,248 ","$799,983 ","$7,749,348 "
DA ARO Army Research Office,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,"$90,000 ",nan,nan
DA ARO Army Research Office,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,"$360,000 ","$315,855 ","$80,000 "
DA Army Bases and Agencies Miscellaneous,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,$0 ,nan,nan
DA Army Corps of Engineers/Omaha District,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,$0 ,nan,nan
DA Army Medical Research and Materiel Command,Colleges,Chemistry Department,Chemistry Department,Federal,nan,"($77,999)",nan
DA Army Medical Research and Materiel Command,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,nan,"$1,043,744 ",nan
DA Army Medical Research and Materiel Command,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,nan,nan,($8)
DA Army Research Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,"$566,174 ",nan,nan
DA Army Research Laboratory,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,nan,$0 ,"$98,832 "
DA Congressionally Directed Medical Research Program,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,nan,nan,"$549,499 "
DA Congressionally Directed Medical Research Program,Colleges,Chemistry Department,Chemistry Department,Federal,nan,"$470,583 ",nan
DA Congressionally Directed Medical Research Program,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,nan,nan,"$549,078 "
DA Congressionally Directed Medical Research Program,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,nan,nan,"$1,311,669 "
DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,"$669,519 ",$0 ,$0 
DAF AFOSR Air Force Office of Scientific Research,Colleges,Chemistry Department,Chemistry Department,Federal,$0 ,"$1,125,000 ","$610,500 "
DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Engineering,Bioengineering,Federal,"$240,000 ","$120,000 ",$0 
DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,nan,"$190,000 ","$389,999 "
DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,"$1,581,028 ","($231,224)","$240,000 "
DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Engineering,Mechanical Engineering,Federal,"$240,000 ","$120,000 ",nan
DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Federal,nan,nan,"$246,971 "
DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Federal,($50),$0 ,nan
DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,"$607,726 ","$4,918,521 ","$1,895,805 "
DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,"$779,999 ",$0 ,$0 
DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,$0 ,$0 ,nan
DAF AFOSR Air Force Office of Scientific Research,Vice Chancellor - Research,Vice Chancellor for Research ORUs,CPAM Center for Pure & Applied Mathematics,Federal,nan,"$429,825 ",$0 
DAF AFOSR Air Force Office of Scientific Research,Vice Chancellor - Research,Vice Chancellor for Research ORUs,ICBS Institute for Cognitive and Brain Sciences,Federal,$0 ,$0 ,$0 
DAF Air Force Research Laboratory,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,nan,"$285,000 ",$0 
DAF Air Force Research Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Federal,$0 ,nan,$0 
DAF Wright-Patterson AFB,Other Academic,Strategic Academic and Facilities Planning,Haas Diversity Research Center (HIFIS Haas Institute),Federal,nan,"$50,000 ",nan
DAF Wright-Patterson AFB,Schools,School of Public Health,"Dean's Office, Public Health",Federal,$0 ,"$500,000 ",$0 
DAF Wright-Patterson AFB,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,nan,nan,"$118,993 "
DAF Wright-Patterson AFB,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Federal,"$2,539 ","$75,000 ","$225,000 "
DAF Wright-Patterson AFB,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Federal,nan,nan,"$564,789 "
DAF Wright-Patterson AFB,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Federal,nan,"$600,000 ",nan
DAF Wright-Patterson AFB,Vice Chancellor for Equity & Inclusion,Null,Null,Federal,$0 ,"$300,000 ",$0 
DAF Wright-Patterson AFB,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,VC Equity & Inclusion Immediate Office,Federal,"$950,000 ",nan,"$1,125,000 "
DHHS ACF Administration for Children and Families,Schools,School of Social Welfare,Dept of Social Welfare,Federal,nan,"$1,059,951 ","$1,059,805 "
DHHS ACF Administration for Children and Families,Vice Chancellor - Research,Academic Research Units,Center for Child and Youth Policy,Federal,"$1,094,599 ",nan,nan
DHHS Agency for Healthcare Research and Quality,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,nan,nan,"$41,108 "
DHHS Agency for Healthcare Research and Quality,Schools,School of Public Health,Null,Federal,"$1,984,500 ","($42,429)",$0 
DHHS Agency for Healthcare Research and Quality,Schools,School of Public Health,"Dean's Office, Public Health",Federal,$0 ,"$103,544 ",$0 
DHHS CDC Centers for Disease Control,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,$0 ,nan,nan
DHHS CDC Centers for Disease Control,Schools,School of Public Health,"Dean's Office, Public Health",Federal,"$1,005,984 ","$753,762 ","($547,440)"
DHHS CDC Centers for Disease Control,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,nan,$0 ,"$11,824,072 "
DHHS CDC Centers for Disease Control,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,Federal,"$493,636 ",nan,$0 
DHHS FDA Food and Drug Administration,Colleges,College of Engineering,Mechanical Engineering,Federal,nan,"$24,900 ",$0 
DHHS Health Resources & Services Administration,Schools,School of Public Health,Null,Federal,"($6,773)",nan,$807 
DHHS Health Resources & Services Administration,Schools,School of Public Health,"Dean's Office, Public Health",Federal,"($1,037,431)","$350,540 ","$352,413 "
DHHS Health Resources & Services Administration,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,nan,"$2,630,000 ",$0 
DHHS Health Resources & Services Administration,Schools,School of Social Welfare,Dept of Social Welfare,Federal,nan,"$154,266 ","$203,393 "
