,Sponsor,Control Unit,Division,Department,class_clean,2014,2015,2016
31,Aduro Biotech,L&S College of Letters & Sciences,L&S Biological Sciences,Cancer Research Laboratory,Industry,0,0,7500000
32,Aduro Biotech,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
33,Aduro Biotech,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Industry,0,250000,176154
34,"Aeon Imaging, LLC",Schools,School of Optometry,Optometry Department,Industry,100000,0,0
35,Aeras Global TB Vaccine Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,54376,0,0
36,"Aerosol Dynamics, Inc.",Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Industry,65238,192052,280222
37,"Aerosol Dynamics, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Industry,0,0,0
38,Africa Medical and Research Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,148173,0
39,Agilent Technologies,Colleges,College of Chemistry,Chemistry Department,Industry,209524,274110,0
40,Agilent Technologies,Colleges,College of Engineering,Bioengineering,Industry,0,0,0
41,Agilent Technologies,L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,Industry,0,0,0
42,Agilent Technologies,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,10000,150000,0
43,Agilent Technologies Foundation,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Not for Profit,20000,15000,0
44,Agricultural Labor Relations Board,Schools,School of Public Health,"Dean's Office, Public Health",Non Federal Governmental,0,0,0
45,Ake Wiberg Foundation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,31353,0,0
46,"Alcoa, Inc.",Colleges,College of Engineering,Mechanical Engineering,Industry,0,303244,0
47,Alcon Laboratories,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,0,0,0
48,Alex's Lemonade Stand Foundation,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,209959,199937,0
49,Alex's Lemonade Stand Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,0,89782
50,Alfred P. Sloan Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,119611,120000
51,Alfred P. Sloan Foundation,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,1511507,330476,0
52,Alfred P. Sloan Foundation,Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,100000
53,Alfred P. Sloan Foundation,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,200000,0,0
54,Alfred P. Sloan Foundation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,150000,0,0
55,Alfred P. Sloan Foundation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,0,0,0
56,Alfred P. Sloan Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Not for Profit,0,78172,0
57,Alfred P. Sloan Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,0,0,750000
58,Alfred P. Sloan Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Not for Profit,0,50000,150000
59,Alfred P. Sloan Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,50000
60,Alfred P. Sloan Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Not for Profit,0,0,0
61,Alfred P. Sloan Foundation,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Not for Profit,0,124992,50000
62,Alfred P. Sloan Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,100000
63,Alfred P. Sloan Foundation,Other Academic,Vice Provost Academic Affairs & Faculty Welfare,VP AAFW Immediate Office,Not for Profit,0,0,0
64,Alfred P. Sloan Foundation,Schools,Goldman School of Public Policy,GSPP Programs & Research,Not for Profit,0,0,0
65,Alfred P. Sloan Foundation,Schools,Haas School of Business (Division),Haas Centers and Institutes,Not for Profit,0,0,1774427
66,Alfred P. Sloan Foundation,Schools,Haas School of Business (Division),Haas School of Business (Department),Not for Profit,29800,0,0
67,Alfred P. Sloan Foundation,Schools,School of Information,iSchool School of Information,Not for Profit,0,50000,0
68,Alfred P. Sloan Foundation,Schools,School of Law,Null,Not for Profit,0,0,0
69,Alfred P. Sloan Foundation,Vice Chancellor - Research,Academic Research Units,Data Science Institute,Not for Profit,1500000,1512547,0
70,Alfred P. Sloan Foundation,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,0,0,0
71,Alfred P. Sloan Foundation,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Not for Profit,359402,0,0
72,Alfred P. Sloan Foundation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,606363,0,0
73,Alfred P. Sloan Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,UC Museum of Paleontology,Not for Profit,179267,301383,0
74,Alfred P. Sloan Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,100000,0,0
75,Alfred P. Sloan Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBI Institute for Business Innovation,Not for Profit,0,0,0
76,All Power Labs,Colleges,CNR College of Natural Resources,Energy & Resources Group,Industry,0,0,323695
77,"Allele Biotechnology and Pharmaceuticals, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
78,Allergan Pharmaceutical,Schools,School of Optometry,Null,Industry,100000,0,0
79,Alliance for Early Success,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,0,45000,80000
80,"Alpha Foundation for the Improvement of Mine Safety and Health, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,477232,0,0
81,"Alpha Foundation for the Improvement of Mine Safety and Health, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,0,494040
82,Alstom,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,Industry,0,0,50000
83,"Altria Group, Inc.",Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Industry,0,1725779,0
84,Alzheimer's Assn (Alzheimer's Disease & Rel Disorders Assn),Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,100000
85,American Assocation for Advancement of Science,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,60000
86,American Assocation for Advancement of Science,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,0
87,American Asthma Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,-125000,0,0
88,American Asthma Foundation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,245500,0,0
89,"American Cancer Society, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,0,792000,0
90,"American Cancer Society, Inc.",Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,792000
91,"American Cancer Society, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,-301084,80000,327000
92,"American Cancer Society, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,327000,0
93,American Center for International Labor Solidarity,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,24152,36453,43065
94,American Chemical Society,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,100000,0,0
95,American Chemical Society,Colleges,College of Chemistry,Chemistry Department,Not for Profit,100000,0,0
96,American Chemical Society,Other Academic,Graduate Division,Graduate Division Fellowships,Not for Profit,0,0,26000
97,American Committee for the Weizmann Institute,Schools,Graduate School of Education,School of Education,Not for Profit,0,38356,0
98,American Council of Learned Societies (ACLS),L&S College of Letters & Sciences,Division of Arts & Humanities,Buddhist Studies,Not for Profit,0,110000,0
99,American Council of Learned Societies (ACLS),L&S College of Letters & Sciences,Division of Arts & Humanities,"Dean, Arts & Humanities",Not for Profit,251000,0,0
100,American Council of Learned Societies (ACLS),L&S College of Letters & Sciences,Division of Arts & Humanities,English,Not for Profit,45000,0,0
101,American Council of Learned Societies (ACLS),L&S College of Letters & Sciences,Division of Arts & Humanities,Rhetoric,Not for Profit,0,0,35000
102,American Council of Learned Societies (ACLS),L&S College of Letters & Sciences,Division of Social Sciences,History,Not for Profit,0,25000,0
103,American Council of Learned Societies (ACLS),Other Academic,Graduate Division,Graduate Division Dean,Not for Profit,40000,15000,0
104,American Council of Learned Societies (ACLS),Other Academic,Graduate Division,Graduate Division Fellowships,Not for Profit,0,75000,20000
105,American Council of Learned Societies (ACLS),Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Not for Profit,0,0,0
106,American Diabetes Association,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,103500,103500,115000
107,American Diabetes Association,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,97752,97752
108,American Dietetic Association,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,23989,0,0
109,American Federation for Aging Research,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,0,0,5000
110,American Heart Association Western States (Cal Affiliate),Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,0,140000,211369
111,American Heart Association Western States (Cal Affiliate),Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,0
112,American Heart Association Western States (Cal Affiliate),Colleges,College of Engineering,Mechanical Engineering,Not for Profit,143000,0,90000
113,American Heart Association Western States (Cal Affiliate),L&S College of Letters & Sciences,L&S Biological Sciences,Cancer Research Laboratory,Not for Profit,0,0,0
114,American Heart Association Western States (Cal Affiliate),L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,198000,82667,-4166
115,American Heart Association Western States (Cal Affiliate),L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,25000,50000,0
116,American Heart Association Western States (Cal Affiliate),Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,86000,0
117,American Heart Association Western States (Cal Affiliate),Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,85000,0,383320
118,American Institute for Research,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Industry,127000,0,0
119,American Iris Society,Vice Chancellor - Research,VC Research Museums & Field Stations ,University/Jepson Herbaria,Not for Profit,0,0,14000
120,American Lung Association of California,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,0,0,32500
121,American Medical Association,Schools,School of Public Health,Null,Not for Profit,0,0,0
122,American Museum of Natural History,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Not for Profit,0,767130,0
123,American Optometric Foundation,Schools,School of Optometry,Null,Not for Profit,0,0,16816
124,American Ornithologists Union,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,0,0,2343
125,American Physical Society,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,38000
126,"American Psychological Association, Inc.",L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Not for Profit,1000,0,0
127,American Society of Plant Biologists,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,0,0,0
128,American Sociological Association,L&S College of Letters & Sciences,Division of Social Sciences,Ethnic Studies,Not for Profit,0,0,7000
129,American Sociological Association,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,0,0,7596
130,"American Type Culture Collection (incl. MR4, BEI Resources)",Schools,School of Public Health,Null,Not for Profit,0,0,0
131,American University of Armenia Corp,Schools,School of Information,iSchool School of Information,Not for Profit,11558,19617,0
132,American University of Armenia Corp,Schools,School of Law,Null,Not for Profit,50475,0,0
133,American Vineyard Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,200800,72000,0
134,American Vineyard Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Not for Profit,0,0,0
135,American-Italian Cancer Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,35000,0,0
136,Amgen Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,"Dean, Physical Sciences",Not for Profit,0,0,25000
137,Amgen Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,"Dean, Biological Sciences",Not for Profit,0,850000,0
138,Amgen Foundation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,25000
139,Amgen Foundation,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Not for Profit,215843,0,26738
140,Amyris Biotechnologies,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,0,60862,0
141,Amyris Biotechnologies,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,4000,0,0
142,"Anacor Pharmaceuticals, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,342139,0,0
143,"Analog Devices, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,0,250000
144,"Anderson Remplex, Inc.",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,0,100908,0
145,Andrew W Mellon Foundation,Campus Support,Vice Chancellor - Administration,Information Services & Technology,Not for Profit,150000,0,0
146,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,Null,Not for Profit,0,-104278,0
147,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,Art History,Not for Profit,0,0,750000
148,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,Classics,Not for Profit,0,0,-53313
149,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,Comparative Literature,Not for Profit,0,0,0
150,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,Critical Theory,Not for Profit,0,150000,0
151,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,"Dean, Arts & Humanities",Not for Profit,0,2104278,0
152,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,Music,Not for Profit,0,0,0
153,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,NE Near Eastern Studies,Not for Profit,0,0,0
154,Andrew W Mellon Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,Townsend Center for the Humanities,Not for Profit,0,950000,0
155,Andrew W Mellon Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,0,0,0
156,Andrew W Mellon Foundation,Schools,Goldman School of Public Policy,Center for Studies in Higher Education,Not for Profit,0,0,23396
157,Andrew W Mellon Foundation,Schools,School of Information,Null,Not for Profit,0,0,0
158,Andrew W Mellon Foundation,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,0,0,1500000
159,Andrew W Mellon Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,University/Jepson Herbaria,Not for Profit,0,0,0
160,Andrew W Mellon Foundation,Vice Chancellor - Research,Academic Research Units,Institute of European Studies,Not for Profit,0,0,0
161,Annie E. Casey Foundation,Other Academic,Strategic Academic and Facilities Planning,Haas Diversity Research Center (HIFIS Haas Institute),Not for Profit,0,25000,0
162,Annie E. Casey Foundation,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,VC Equity & Inclusion Immediate Office,Not for Profit,75000,0,0
163,Annie E. Casey Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,0,0,0
164,"Anthem Foundation, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,75000,0
165,"Applied Materials, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,-175000,0
166,"Applied Materials, Inc.",Colleges,College of Engineering,Mechanical Engineering,Industry,0,53731,25000
167,Applied Technology Council,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,25000,0,0
168,Applied Technology Council,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Not for Profit,0,74812,11652
169,Archstone Foundation,Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,0,116496,0
170,Archstone Foundation,Schools,School of Social Welfare,Social Welfare,Not for Profit,122846,0,0
171,Areva Group,Colleges,CNR College of Natural Resources,Energy & Resources Group,Industry,282963,0,0
172,"Arizona State University, Tempe",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,93086,0,0
173,"Arizona State University, Tempe",Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Not for Profit,0,93859,43000
174,"Arizona State University, Tempe",Colleges,College of Engineering,Nuclear Engineering,Not for Profit,390000,0,0
175,"Arizona State University, Tempe",Schools,Graduate School of Education,Null,Not for Profit,0,0,0
176,"Arizona State University, Tempe",Schools,Graduate School of Education,School of Education,Not for Profit,0,0,0
177,Arnold and Mabel Beckman Foundation,Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,115705
178,Arnold and Mabel Beckman Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,750000,0,0
179,"Array Information Technology, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Industry,0,213855,0
180,Arup North America Ltd,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Industry,0,4000,0
181,Aspen Institute,Vice Chancellor - Research,Academic Research Units,Center for Middle Eastern Studies,Not for Profit,0,0,123354
182,"Associated Universities, Inc (National Radio Astronomy Observatory)",L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,3000
183,Association of Bay Area Governments,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Not for Profit,0,0,0
184,Association of Universities for Research in Astronomy (Space Telescope Science Institute),L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,751343,1164367,383467
185,Association of Universities for Research in Astronomy (Space Telescope Science Institute),Vice Chancellor - Research,Academic Research Units,Center for Integrative Planetary Science,Not for Profit,0,0,75225
186,Association of Universities for Research in Astronomy (Space Telescope Science Institute),Vice Chancellor - Research,Academic Research Units,RAL Radio Astronomy Laboratory,Not for Profit,0,0,109080
187,Association of Universities for Research in Astronomy (Space Telescope Science Institute),Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,0,255647,-407
188,Association of Universities for Research in Astronomy (Space Telescope Science Institute),Vice Chancellor - Research,Academic Research Units,TAC Theoretical Astrophysics Center,Not for Profit,15506,0,0
189,AstraZeneca Inc.,L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,Industry,0,2340000,0
190,AstraZeneca Inc.,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,0,0
191,Atlantic Philanthropies,Schools,School of Law,Null,Not for Profit,125000,0,0
192,Atlantic Philanthropies,Schools,School of Public Health,Null,Not for Profit,50000,0,0
193,Australian National University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,0
194,Australian National University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,0
195,"Autodesk, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,18452,0,0
196,"Autodesk, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,15000,0,0
197,Automotive Research and Testing Center,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,0,0,45000
198,"Avon Products Foundation, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,300000,0,0
199,"Azbil North America Research and Development, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,250000,0
200,BAE Systems,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,595000,492500,553360
201,BASF Corporation,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,0,619578,0
202,BASF Corporation,Colleges,College of Chemistry,Chemistry Department,Industry,3300000,1581830,4187482
203,BASF Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,500000,480712,0
204,BASF Corporation,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,175000,0,-105000
205,BC Hydro,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Non Federal Governmental,0,0,0
206,"BP Group (BP America, BP Exploration, British Petroleum)",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,0,1350000,0
207,"BP Group (BP America, BP Exploration, British Petroleum)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,-200000,0,0
208,"BP Group (BP America, BP Exploration, British Petroleum)",Vice Chancellor - Research,VC Res Other Research Units,EBI Energy Biosciences Institute,Industry,0,0,5000000
209,"BP Group (BP America, BP Exploration, British Petroleum)",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,10000,0,0
210,"BP Group (BP America, BP Exploration, British Petroleum)",Vice Chancellor - Research,Vice Chancellor for Research ORUs,Null,Industry,0,0,0
211,BURL Concepts Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,675000,-540000
212,Bangladesh Rehabilitation Assistance Committee USA,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Not for Profit,165200,71713,93743
213,"Bank of America Charitable Foundation, Inc.",Schools,School of Law,nan,Not for Profit,400000,0,275000
214,Barbara Ann Karmanos Cancer Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
215,Battelle Memorial Institute,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,-50000,0,-33534
216,Battelle Memorial Institute,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,43087,0,0
217,Battelle Memorial Institute,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,0,0,0
218,Bay Area Air Quality Management District,Colleges,CNR College of Natural Resources,Energy & Resources Group,Non Federal Governmental,0,60000,0
219,Bay Area Air Quality Management District,Colleges,College of Chemistry,Chemistry Department,Non Federal Governmental,103176,0,64998
220,Bay Area Air Quality Management District,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,68000,65000,31004
221,Bay Area Air Quality Management District,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Non Federal Governmental,0,0,0
222,Bay Area Environmental Research Institute,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,98412,0,0
223,Bay Area Rapid Transit,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,0,0,99369
224,Bay Area Rapid Transit,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Non Federal Governmental,0,300000,0
225,Bay Area Research Corporation,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Industry,99961,51830,0
226,Bay Area Toll Authority,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,0,0,100000
227,Bay Areas Urban Area Security Initiative,Campus Support,Vice Chancellor - Administration,Public Safety,Not for Profit,327226,30145,0
228,Bayer AG,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,0,28223,0
